id,image_url,user_message,bot_message,feedback
1,http://wallpapercave.com/wp/0swzmR9.jpg,Describe this image.,"The image depicts a large ocean liner sailing across the water on a cloudy day. The ship is painted in black, white, and red colors and appears to be quite large, taking up a significant portion of the scene. There are several people visible on the deck of the ship, likely enjoying the view or engaging in various activities. In total, there are at least 10 people spread out across the deck, some closer to the bow of the ship and others near the stern. The painting captures the grandeur and majesty of the ocean liner as it sails through the stormy sea.",like
2,http://wallpapercave.com/wp/0swzmR9.jpg,What is the name of this ship?,Titanic,like
3,http://wallpapercave.com/wp/0swzmR9.jpg,How many people survived titanic?,705,like
4,http://wallpapercave.com/wp/0swzmR9.jpg,Is there any movie about this?,yes,like
5,http://wallpapercave.com/wp/0swzmR9.jpg,What are the movies related to this ship?,Titanic,like
6,http://wallpapercave.com/wp/0swzmR9.jpg,Who was the director?,james cameron,like
7,http://wallpapercave.com/wp/0swzmR9.jpg,Who were the main actors?,Leonardo DiCaprio and Kate Winslet,like
1,http://wallpapercave.com/wp/0swzmR9.jpg,Describe this image.,"The image is a painting of a large ship sailing on the ocean. The ship is painted in black, white, and red colors, and it appears to be quite large. The ship is positioned in the middle of the ocean, surrounded by waves and water. There are several people visible on the ship, with one person standing on the left side of the ship and another person standing on the right side of the ship. The painting captures the grandeur of the ship and the vastness of the ocean.",like
2,http://wallpapercave.com/wp/0swzmR9.jpg,What is the name of this ship?,The name of this ship is the Titanic.,like
3,http://wallpapercave.com/wp/0swzmR9.jpg,How many people survived this incident?,"Of the 2,224 passengers and crew members aboard the Titanic, only 705 survived the ship's tragic sinking on April 14, 1912. The disaster resulted in the loss of over 1,500 lives, making it one of the deadliest maritime disasters in history.",like
4,http://wallpapercave.com/wp/0swzmR9.jpg,Is there any movie about it?,"Yes, there is a famous movie called ""Titanic"" that was released in 1997. Directed by James Cameron and starring Leonardo DiCaprio and Kate Winslet, the movie tells the story of the Titanic's ill-fated maiden voyage from Southampton, England, to New York City. Despite its tragic outcome, the Titanic's story continues to captivate audiences around the world, and the movie has become one of the highest-grossing films of all time.",like
5,http://wallpapercave.com/wp/0swzmR9.jpg,What are other movies of this director?,"James Cameron, the director of ""Titanic,"" has directed and produced several other successful movies throughout his career. Some of his notable works include:

1. ""Avatar"" (2009) - a science-fiction epic that grossed over $2.7 billion worldwide, making it the highest-grossing film of all time.

2. ""Terminator 2: Judgment Day"" (1991) - a science-fiction action film that was a critical and commercial success.

3. ""The Abyss"" (1989) - a science-fiction thriller that explores the depths of the ocean and the potential dangers of underwater exploration.

4. ""True Lies"" (1994) - a spy-comedy film that stars Arnold Schwarzenegger and Jamie Lee Curtis.

5. ""The Terminator"" (1984) - a science-fiction action film that introduced audiences to the iconic character of the Terminator.

These movies demonstrate James Cameron's versatility as a",like
1,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,Describe this image.,"The image features a group of animated characters from the cartoon show ""Phineas and Ferb"" sitting in a car together. There are four people in the car, including Phineas, Ferb, Buford, and Baljeet. They appear to be enjoying their time together, possibly on a road trip or adventure.",dislike
2,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,How many seasons are there?,"There are four seasons of ""Phineas and Ferb.""",like
3,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,How long is an episode?,"Each episode of ""Phineas and Ferb"" is approximately 22 minutes long.",like
4,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,Who are the main characters?,"The main characters of ""Phineas and Ferb"" are Phineas Flynn and Ferb Fletcher.",like
5,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,What do they do?,"Phineas Flynn and Ferb Fletcher are two creative and energetic young boys who spend their summer vacation inventing and building various projects, often with the help of their older sister Candace and their pet platypus Perry the Platypus.",like
6,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,Who is the villian?,"The main antagonist of ""Phineas and Ferb"" is Dr. Heinz Doofenshmirtz, a mad scientist who tries to take over the world using various gadgets and inventions.",like
7,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,What was the ending of the series?,"The ending of ""Phineas and Ferb"" was a bittersweet one, as it marked the end of the show's run after four seasons. In the final episode, titled ""The Last Day of Summer,"" Phineas and Ferb build a time machine to go back in time and relive their favorite summer memories. As they travel through time, they encounter various versions of themselves from different points in their lives, leading to a heartwarming and nostalgic conclusion. 

Throughout the series, Phineas and Ferb's creativity, enthusiasm, and sense of adventure inspired viewers of all ages to embrace their own imaginations and pursue their passions. The show's catchy theme song, memorable characters, and unique blend of humor, action, and heart made it a fan-favorite among children and adults alike.",like
8,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,How old are the main characters?,Phineas Flynn and Ferb Fletcher are both 10 years old.,like
1,https://cdn.i-scmp.com/sites/default/files/d8/images/canvas/2023/10/06/d523ea65-3c20-477d-8062-b90fef90d550_f1c41c67.jpg,Describe the image.,"In the image, the main characters of ""Phineas and Ferb,"" Phineas Flynn and Ferb Fletcher, are standing next to each other in their underwear.",
1,https://cdn.i-scmp.com/sites/default/files/d8/images/canvas/2023/10/06/d523ea65-3c20-477d-8062-b90fef90d550_f1c41c67.jpg,Describe the image.,"In the image, four young women are posing together in a bedroom. They are wearing various outfits, including skirts, dresses, and shirts. Two of the women are standing on the left side of the room, while the other two are positioned on the right side. There is a window in the background, providing a natural setting for the photo. The girls seem to be having fun and enjoying each other's company.",like
2,https://cdn.i-scmp.com/sites/default/files/d8/images/canvas/2023/10/06/d523ea65-3c20-477d-8062-b90fef90d550_f1c41c67.jpg,Who are they?,The four young women in the image are members of a popular South Korean girl group known as Blackpink.,dislike
3,https://cdn.i-scmp.com/sites/default/files/d8/images/canvas/2023/10/06/d523ea65-3c20-477d-8062-b90fef90d550_f1c41c67.jpg,What do they do?,"Blackpink is a South Korean girl group formed by YG Entertainment in 2016. The group consists of four members: Jisoo, Jennie, Lisa, and Rosé. They are known for their energetic performances, catchy music, and unique fashion styles.",like
4,https://cdn.i-scmp.com/sites/default/files/d8/images/canvas/2023/10/06/d523ea65-3c20-477d-8062-b90fef90d550_f1c41c67.jpg,What are their songs?,"Blackpink has released several hit songs, including ""Ddu-Du Ddu-Du,"" ""Boombayah,"" ""Whistle,"" ""Playing with Fire,"" ""DDU-DU DDU-DU,"" and ""Kill This Love."" Their music is a blend of pop, hip-hop, and electronic dance music (EDM), making it appealing to a wide range of audiences.",like
5,https://cdn.i-scmp.com/sites/default/files/d8/images/canvas/2023/10/06/d523ea65-3c20-477d-8062-b90fef90d550_f1c41c67.jpg,What is the most successful song?,"The most successful song by Blackpink is ""Ddu-Du Ddu-Du,"" which was released in 2016 as part of their debut album, ""Square One."" The song became an instant hit, reaching number one on various music charts in South Korea, Japan, Taiwan, and Thailand. It also peaked at number two on the US Billboard World Digital Song Sales chart, showcasing the group's global appeal.",like
6,https://cdn.i-scmp.com/sites/default/files/d8/images/canvas/2023/10/06/d523ea65-3c20-477d-8062-b90fef90d550_f1c41c67.jpg,Who is the most beautiful?,The most beautiful member of Blackpink is considered to be Jisoo.,like
7,https://cdn.i-scmp.com/sites/default/files/d8/images/canvas/2023/10/06/d523ea65-3c20-477d-8062-b90fef90d550_f1c41c67.jpg,Who is the best rapper?,The best rapper in Blackpink is considered to be Lisa.,like
8,https://cdn.i-scmp.com/sites/default/files/d8/images/canvas/2023/10/06/d523ea65-3c20-477d-8062-b90fef90d550_f1c41c67.jpg,When did they debut?,Blackpink debuted in 2016.,like
1,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,Describe this image.,"The image features a group of animated characters from the cartoon show ""Phineas and Ferb"" sitting in a car together. There are four people in the car, including Phineas, Ferb, Buford, and Baljeet. They appear to be enjoying their time together, possibly on a road trip or adventure.",
2,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,How old are they?,"Phineas, Ferb, Buford, and Baljeet are all animated characters from the cartoon show ""Phineas and Ferb.""",
3,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,How many seasons are there?,"There are four seasons of ""Phineas and Ferb.""",
4,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,How long is an episode?,"Each episode of ""Phineas and Ferb"" is approximately 22 minutes long.",
5,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,Who is the villian?,Dr. Doofenshmirtz,
6,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,Who are the main characters?,Phineas and Ferb,
7,https://lumiere-a.akamaihd.net/v1/images/pp_phineasandferb_herobanner_21235_ec91976c.jpeg,What do they do?,Invent,
